id,type,is_digital,label,score
000447addd8a4e4aabb62238ba3d559f,MAURITIUS/ID,True,0,0.0008871813
000a3010ddea4e1d8eab2437d8915bd5,GUINEA/DL,True,1,0.9999969
000d99c6eaae491483afbff2ecb73bb3,MAURITIUS/ID,True,1,0.99999774
001d744805b44207aff13532a6135c28,BENIN/DL,True,1,0.99999726
001e4747d82e4502a1a447fca3f38196,EGYPT/DL,True,1,0.99999774
00239e9ab6de466eb3b3db9bdbaf260d,EGYPT/DL,True,0,0.0015383345
0027c2e67339470fab5926790fe08e92,GUINEA/DL,True,0,0.0009026474
00351f6a9f3f4b19aa5d44dc96d9fc2e,GUINEA/DL,True,1,0.9999976
00423cc886864261ad496e69d4918033,EGYPT/DL,True,1,0.99999666
00488e103c7c4950851eebcfe5e365e8,MOZAMBIQUE/DL,True,0,0.00085636444
0051060924d640c7b818da0d0afb93a7,EGYPT/DL,True,0,0.0012610357
005196ff8bfc44e386a42206a387ae63,MOZAMBIQUE/DL,True,0,0.0008696134
0054a1437dba47d88d10ce8786422e7c,GUINEA/DL,True,1,0.9999974
005cd8e17d5144cead202bf04ac49f91,EGYPT/DL,True,0,0.001214081
007b2deaf7a4424dbb10b019ed8cbe28,EGYPT/DL,True,0,0.0010724447
009968729f384eb0828fbf84a4cf7aaa,MAURITIUS/ID,True,0,0.0009446587
00a06f2f739e442bad161dd06da9fd76,MOZAMBIQUE/DL,True,0,0.0008753909
00a159cb3c564e9c8070bd510ec0c7db,MAURITIUS/ID,True,1,0.9999974
00a58a2c5a6f4d9eb79e5133411138b5,MOZAMBIQUE/DL,True,0,0.00087030197
00b01ce365bf463db36130f6d9ab3857,EGYPT/DL,True,0,0.0010252256
00b22440be0e4579872e60f260b05c60,MOZAMBIQUE/DL,True,1,0.9999974
00c65ccb464c4ddab22be22218987053,MAURITIUS/ID,True,0,0.0008928057
00cb1fe38f74487d9c713e412c4b7bae,EGYPT/DL,True,0,0.0016534077
00cf62b016a341e99580c58203d2c088,MOZAMBIQUE/DL,True,0,0.001017675
00d7605822b741b182371f6f2ac5678d,MOZAMBIQUE/DL,True,0,0.00087563496
00e3ee8868d947718788c0d09521ce9f,MOZAMBIQUE/DL,True,0,0.0008636679
00ecb49a87ce4e3295a87ba4b42c11ad,MOZAMBIQUE/DL,True,1,0.99999726
0102cf000d894a318892f3e2690d070b,EGYPT/DL,True,1,0.99999785
010e4e0bae67415591d693f61dc5f411,EGYPT/DL,True,1,0.9999976
011bd830e3654c6380a6000e39dcd4c2,GUINEA/DL,True,1,0.9999968
01224a0090ef4e1fbd02b78790124681,GUINEA/DL,True,0,0.0008937956
01231a7d7fda45b6b39e6876f01b9548,MOZAMBIQUE/DL,True,1,0.9999974
0124de2d5bb14d32925bf28a7dee746c,MAURITIUS/ID,True,0,0.0012233597
