id,label,width,height,aspect_ratio,file_size_bytes,quant_hash,quant_mean,mean_r,mean_g,mean_b,std_r,std_g,std_b
0000e24edb864abe8b0defa703742dcb,1,1387,875,1.5851428571428572,229112,421,36.234375,202.65234,191.47803,183.66016,47.729652,46.312336,48.194542
0004b435792e4a5387a228133ad27a5f,1,1584,1000,1.584,244998,421,36.234375,202.8147,189.72461,170.69824,44.41409,43.460423,41.14542
000514f0340642f3b2eb83bff862458a,0,1387,875,1.5851428571428572,239447,421,36.234375,207.24854,195.88379,188.36963,36.455235,35.396564,37.442898
0006fe32740941c58a2a96cf28768e7f,0,1387,875,1.5851428571428572,235514,421,36.234375,207.52173,196.44922,188.80469,36.858356,36.240124,38.597008
0007db19385841f8b45d50329be83a1a,1,1387,875,1.5851428571428572,236270,421,36.234375,207.71875,196.00757,188.1643,35.036068,35.615696,38.674934
00083e9c305b467b9a414eb96c05e877,0,1585,1000,1.585,294963,421,36.234375,211.55103,205.90747,205.07275,45.085094,45.63912,48.32031
0008b444e8514df2aa71a47a9df69ce7,1,1000,630,1.5873015873015872,107392,421,36.234375,181.75024,187.61621,187.92578,49.062725,51.225143,52.503857
0008d2cb7c64466d975406593da2c719,0,1585,1000,1.585,290726,421,36.234375,214.17065,208.62305,207.68335,43.389637,44.053635,47.043293
0009a1b4b8f04e2bb920e791d087165a,1,1585,1000,1.585,247929,421,36.234375,208.02295,195.92871,180.47803,56.86969,56.510307,60.145042
000a27cd549647359deaa78721858877,0,1000,630,1.5873015873015872,128692,421,36.234375,182.9768,188.97461,189.26685,43.61041,45.553013,46.981632
000b0df15e504699a6c2e41d62a5b5cf,1,1387,875,1.5851428571428572,235144,421,36.234375,207.66846,196.52417,188.8794,37.068054,35.87224,37.862675
000b352feaa04340842f3e1e725ac8c8,0,1584,1000,1.584,255906,421,36.234375,202.36182,188.78809,170.2539,45.4305,45.463722,42.024784
000c096307014a55b963905b4ade4cd8,1,1585,1000,1.585,245795,421,36.234375,207.03491,196.21826,186.80933,58.520424,56.07425,52.285904
000d8e7c324247a3bccc80ad2814a2ce,1,1584,1000,1.584,243883,421,36.234375,205.62305,192.52563,173.37549,40.497784,40.72764,38.84231
000dfd2aa5824ce5bc3faefe29a2b348,0,1585,1000,1.585,234222,421,36.234375,211.08765,196.80835,182.25171,50.991215,54.829956,60.47083
000e6852a3f6426d9754e31a5ef92552,1,1584,1000,1.584,253055,421,36.234375,203.98877,190.15771,171.03174,45.972458,45.954365,43.392883
000ee902604c4a6087c086935a7c1c20,1,1585,1000,1.585,294868,421,36.234375,214.9563,208.15527,206.81201,41.144943,43.149357,46.64462
0010107385a44f1098ba4bc68f1c35a4,1,1585,1000,1.585,242203,421,36.234375,213.10645,200.74902,185.45972,52.309723,51.451996,55.704014
00106a7ac03c4e62a692b07495943688,0,1585,1000,1.585,288647,421,36.234375,214.5144,209.031,208.18799,42.260574,42.896038,45.756195
001312e003a84c3d95422747997ff2cd,1,1585,1000,1.585,293736,421,36.234375,213.4065,207.95068,207.12695,43.339333,43.942455,46.719086
0014a96a4983431abafbc60de5e355cf,0,1585,1000,1.585,235666,421,36.234375,207.97998,198.82642,188.07031,54.494827,51.15163,49.45375
0014eb0f536e48a2a75f5b11fd729ac9,0,1387,875,1.5851428571428572,233653,421,36.234375,204.82764,193.70679,186.09961,41.77298,40.626102,42.235615
0016392efbf44be6adfd19a306594394,0,1585,1000,1.585,293152,421,36.234375,213.26367,207.80762,206.9519,43.646503,44.10116,46.883343
001769a4a19945f0bf42f7dd55a03899,1,1387,875,1.5851428571428572,237220,421,36.234375,204.8899,194.41504,186.96216,42.435436,40.403652,41.721363
0018f0454e9346b6a6dbd62d48d29e66,0,1585,1000,1.585,232672,421,36.234375,205.97437,196.96973,187.53735,58.487694,54.42635,50.969574
001927d150fa4caabcb153f953b04ea7,0,1585,1000,1.585,231232,421,36.234375,211.92456,200.4458,182.96582,50.69294,49.847973,60.601448
0019404f5943455894bb6edaa0f4c6fa,0,1584,1000,1.584,247608,421,36.234375,202.11328,189.31836,170.53687,47.479668,46.37975,43.056667
0019a813e5a44b8289d4d21ce50bb7f8,1,1387,875,1.5851428571428572,232129,421,36.234375,204.73193,193.09595,184.7981,41.505005,40.967915,44.089626
001a6f5f793e4e49a93d1ab0625ce475,1,1387,875,1.5851428571428572,229493,421,36.234375,204.9353,193.56494,185.75146,40.27244,39.591976,42.44138
001bf759057044299371acf8fd00a0bb,0,1387,875,1.5851428571428572,236368,421,36.234375,207.0039,195.75684,187.45068,38.117573,37.54754,40.632458
001cdb57f8d2436386844fce52a441bf,0,1585,1000,1.585,294410,421,36.234375,213.9143,208.3811,207.4497,42.951607,43.63394,46.61549
001ec3a820c843b08e40939f035d0c40,0,1585,1000,1.585,237545,421,36.234375,206.37378,196.14722,187.42139,57.81805,55.565678,51.01766
001f8c2e15f24aacab9d1dbdb7877cd1,1,1584,1000,1.584,240852,421,36.234375,204.54004,189.74756,170.45166,42.557842,43.68051,40.90527
001f98b95c374340b4f4996ffa7fcfae,0,1584,1000,1.584,251713,421,36.234375,207.09229,193.58643,174.7461,39.77978,40.2186,38.5186
001fe4c23169495f93e9ba02b93e4c1e,1,1585,1000,1.585,293560,421,36.234375,212.71948,207.22437,206.40967,45.18197,45.64423,48.32427
0021758062ed4a109b8d965203a803bb,0,1585,1000,1.585,229263,421,36.234375,209.80981,198.92163,188.92188,53.65621,52.494305,49.426086
0021b62a252248669a16bcaa8d2c1d15,0,1000,630,1.5873015873015872,130630,421,36.234375,182.24072,188.45605,188.83594,44.065434,45.832283,46.96239
002732cc669b4f1cba3e1e580ecf5f7e,0,1584,1000,1.584,245815,421,36.234375,204.09741,191.21216,171.99854,44.280956,44.13771,42.038845
00274669195947069423fe1f93a990d6,0,1585,1000,1.585,292287,421,36.234375,212.16602,206.57056,205.72217,45.715942,46.1688,48.79435
00284c6100564cb985d7cede7f9e7014,0,1584,1000,1.584,248553,421,36.234375,204.27295,191.13037,172.3274,43.001007,43.357433,41.131702
002961ebc7164f49a47a102bdbb5d802,1,1585,1000,1.585,228161,421,36.234375,212.07104,198.0105,182.39233,54.04082,55.887833,61.134735
002998f600f9426c94d008920398c4f3,0,1000,630,1.5873015873015872,119823,421,36.234375,181.87207,188.04956,188.2251,45.977356,47.74039,49.4149
002da0ae680b4efa8d9e3f3a494b0ee5,0,1584,1000,1.584,251095,421,36.234375,205.98389,192.89526,174.21777,40.55614,40.8938,38.97718
002f331d82ef4f52b764805fa223f67f,0,1000,630,1.5873015873015872,123426,421,36.234375,181.9851,187.91577,188.26807,46.006634,47.967503,49.24072
00306132f1ac4d6089bb0e357a947198,1,1585,1000,1.585,236029,421,36.234375,205.59473,193.48438,182.71289,60.55734,60.148373,59.736
0032049c1c294751bb17a9b47d6b6bc0,1,1387,875,1.5851428571428572,230453,421,36.234375,206.70288,195.16724,187.02344,37.581306,36.885365,39.852135
003227dd160648e2bb860c29bd528110,1,1000,630,1.5873015873015872,124978,421,36.234375,181.29907,186.39233,186.5354,47.343563,50.16967,51.539402
003303bed6624071ba47a63202857c2c,1,1585,1000,1.585,237677,421,36.234375,209.52686,196.32251,182.80273,55.532986,56.557293,58.805805
