mode,type,example,hard,passed,delta_blur_laplacian_var,delta_moire_fft_score,delta_blockiness_score,threshold_p90_blur_laplacian_var,threshold_p90_moire_fft_score,threshold_p90_blockiness_score
C,EGYPT/DL,0,True,True,23.489102247996527,16.052288182843995,0.34419854065538535,1207.3979616740887,34.84350793633247,1.686727262568293
C,GUINEA/DL,1,True,True,180.18571109888694,18.38716989560129,0.014516082508414963,1207.3979616740887,34.84350793633247,1.686727262568293
C,BENIN/DL,2,True,True,21.029278107713992,17.46672576823876,0.11762049024571275,1207.3979616740887,34.84350793633247,1.686727262568293
C,MOZAMBIQUE/DL,3,True,True,187.50154570026814,7.361075116443104,0.3819450393976136,1207.3979616740887,34.84350793633247,1.686727262568293
C,MAURITIUS/ID,4,True,False,183.5994077019607,36.41735031301569,0.17010033476700115,1207.3979616740887,34.84350793633247,1.686727262568293
C,EGYPT/DL,5,True,True,21.35229203806057,23.47123136922007,0.3824811531278405,1207.3979616740887,34.84350793633247,1.686727262568293
C,GUINEA/DL,6,False,True,3.586168486139627,23.26247434219301,0.01830257885636777,1207.3979616740887,34.84350793633247,1.686727262568293
C,BENIN/DL,7,False,True,16.54264483480847,20.559594706759015,0.1555466392590461,1207.3979616740887,34.84350793633247,1.686727262568293
C,MOZAMBIQUE/DL,8,False,True,10.180933461940754,1.4334535908768515,0.2912938314022324,1207.3979616740887,34.84350793633247,1.686727262568293
C,MAURITIUS/ID,9,False,True,120.81749745127019,17.990184379691883,0.011810249810249696,1207.3979616740887,34.84350793633247,1.686727262568293
C,EGYPT/DL,10,False,True,16.53815442854102,18.913659044893357,0.32166720927608106,1207.3979616740887,34.84350793633247,1.686727262568293
C,GUINEA/DL,11,False,True,186.38182484770016,21.872939826006075,0.028797739915037868,1207.3979616740887,34.84350793633247,1.686727262568293
